13:48:11.835 [main] INFO  c.n.journalApp.JournalApplication - Starting JournalApplication using Java 17.0.18 with PID 19924 (C:\Users\EIS\OneDrive\Desktop\Spring Boot\journalApp\journalApp\target\classes started by EIS in C:\Users\EIS\OneDrive\Desktop\Spring Boot\journalApp)
13:48:11.841 [main] DEBUG c.n.journalApp.JournalApplication - Running with Spring Boot v3.5.11, Spring v6.2.16
13:48:11.842 [main] INFO  c.n.journalApp.JournalApplication - The following 1 profile is active: "dev"
13:48:13.099 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
13:48:13.176 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 67 ms. Found 3 MongoDB repository interfaces.
13:48:13.755 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
13:48:13.770 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
13:48:13.771 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:48:13.771 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.52]
13:48:13.836 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
13:48:13.836 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1879 ms
13:48:14.088 [cluster-ClusterId{value='69ccd4c6361a8cafee38af01', description='Cluster0'}-srv-cluster0.fdbezn9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017 to client view of cluster
13:48:14.135 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/17.0.18+8"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='nishishah01', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@afde064, com.mongodb.Jep395RecordCodecProvider@5a592c70, com.mongodb.KotlinCodecProvider@252ec02e]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.fdbezn9.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-r6pbtp-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
13:48:14.144 [cluster-ClusterId{value='69ccd4c6361a8cafee38af01', description='Cluster0'}-srv-cluster0.fdbezn9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017 to client view of cluster
13:48:14.148 [cluster-ClusterId{value='69ccd4c6361a8cafee38af01', description='Cluster0'}-srv-cluster0.fdbezn9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017 to client view of cluster
13:48:14.511 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29992 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
13:48:14.548 [cluster-ClusterId{value='69ccd4c6361a8cafee38af01', description='Cluster0'}-ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=181833100, minRoundTripTimeNanos=0, setName='atlas-r6pbtp-shard-0', canonicalAddress=ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, hosts=[ac-70j3ux9-shard-00-01.fdbezn9.mongodb.net:27017, ac-70j3ux9-shard-00-00.fdbezn9.mongodb.net:27017, ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-70j3ux9-shard-00-02.fdbezn9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=19, topologyVersion=TopologyVersion{processId=69b2ce26c18ce559ea472555, counter=3}, lastWriteDate=Wed Apr 01 13:48:03 IST 2026, lastUpdateTimeNanos=1032867635000}
